Step: 0   Error: 0.302500    Prediction: 0.250000    Weight: 0.500000
Step: 1   Error: 0.301950    Prediction: 0.250500    Weight: 0.501000
Step: 2   Error: 0.301401    Prediction: 0.251000    Weight: 0.502000
Step: 3   Error: 0.300852    Prediction: 0.251500    Weight: 0.503000
Step: 4   Error: 0.300304    Prediction: 0.252000    Weight: 0.504000
Step: 5   Error: 0.299756    Prediction: 0.252500    Weight: 0.505000
Step: 6   Error: 0.299209    Prediction: 0.253000    Weight: 0.506000
Step: 7   Error: 0.298662    Prediction: 0.253500    Weight: 0.507000
Step: 8   Error: 0.298116    Prediction: 0.254000    Weight: 0.508000
Step: 9   Error: 0.297570    Prediction: 0.254500    Weight: 0.509000
Step: 10   Error: 0.297025    Prediction: 0.255000    Weight: 0.510000
Step: 11   Error: 0.296480    Prediction: 0.255500    Weight: 0.511000
Step: 12   Error: 0.295936    Prediction: 0.256000    Weight: 0.512000
Step: 13   Error: 0.295392    Prediction: 0.256500    Weight: 0.513000
Step: 14   Error: 0.294849    Prediction: 0.257000    Weight: 0.514000
Step: 15   Error: 0.294306    Prediction: 0.257500    Weight: 0.515000
Step: 16   Error: 0.293764    Prediction: 0.258000    Weight: 0.516000
Step: 17   Error: 0.293222    Prediction: 0.258500    Weight: 0.517000
Step: 18   Error: 0.292681    Prediction: 0.259000    Weight: 0.518000
Step: 19   Error: 0.292140    Prediction: 0.259500    Weight: 0.519000
Step: 20   Error: 0.291600    Prediction: 0.260000    Weight: 0.520000
Step: 21   Error: 0.291060    Prediction: 0.260500    Weight: 0.521000
Step: 22   Error: 0.290521    Prediction: 0.261000    Weight: 0.522000
Step: 23   Error: 0.289982    Prediction: 0.261500    Weight: 0.523000
Step: 24   Error: 0.289444    Prediction: 0.262000    Weight: 0.524000
Step: 25   Error: 0.288906    Prediction: 0.262500    Weight: 0.525000
Step: 26   Error: 0.288369    Prediction: 0.263000    Weight: 0.526000
Step: 27   Error: 0.287832    Prediction: 0.263500    Weight: 0.527000
Step: 28   Error: 0.287296    Prediction: 0.264000    Weight: 0.528000
Step: 29   Error: 0.286760    Prediction: 0.264500    Weight: 0.529000
Step: 30   Error: 0.286225    Prediction: 0.265000    Weight: 0.530000
Step: 31   Error: 0.285690    Prediction: 0.265500    Weight: 0.531000
Step: 32   Error: 0.285156    Prediction: 0.266000    Weight: 0.532000
Step: 33   Error: 0.284622    Prediction: 0.266500    Weight: 0.533000
Step: 34   Error: 0.284089    Prediction: 0.267000    Weight: 0.534000
Step: 35   Error: 0.283556    Prediction: 0.267500    Weight: 0.535000
Step: 36   Error: 0.283024    Prediction: 0.268000    Weight: 0.536000
Step: 37   Error: 0.282492    Prediction: 0.268500    Weight: 0.537000
Step: 38   Error: 0.281961    Prediction: 0.269000    Weight: 0.538000
Step: 39   Error: 0.281430    Prediction: 0.269500    Weight: 0.539000
Step: 40   Error: 0.280900    Prediction: 0.270000    Weight: 0.540000
Step: 41   Error: 0.280370    Prediction: 0.270500    Weight: 0.541000
Step: 42   Error: 0.279841    Prediction: 0.271000    Weight: 0.542000
Step: 43   Error: 0.279312    Prediction: 0.271500    Weight: 0.543000
Step: 44   Error: 0.278784    Prediction: 0.272000    Weight: 0.544000
Step: 45   Error: 0.278256    Prediction: 0.272500    Weight: 0.545000
Step: 46   Error: 0.277729    Prediction: 0.273000    Weight: 0.546000
Step: 47   Error: 0.277202    Prediction: 0.273500    Weight: 0.547000
Step: 48   Error: 0.276676    Prediction: 0.274000    Weight: 0.548000
Step: 49   Error: 0.276150    Prediction: 0.274500    Weight: 0.549000
Step: 50   Error: 0.275625    Prediction: 0.275000    Weight: 0.550000
Step: 51   Error: 0.275100    Prediction: 0.275500    Weight: 0.551000
Step: 52   Error: 0.274576    Prediction: 0.276000    Weight: 0.552000
Step: 53   Error: 0.274052    Prediction: 0.276500    Weight: 0.553000
Step: 54   Error: 0.273529    Prediction: 0.277000    Weight: 0.554000
Step: 55   Error: 0.273006    Prediction: 0.277500    Weight: 0.555000
Step: 56   Error: 0.272484    Prediction: 0.278000    Weight: 0.556000
Step: 57   Error: 0.271962    Prediction: 0.278500    Weight: 0.557000
Step: 58   Error: 0.271441    Prediction: 0.279000    Weight: 0.558000
Step: 59   Error: 0.270920    Prediction: 0.279500    Weight: 0.559000
Step: 60   Error: 0.270400    Prediction: 0.280000    Weight: 0.560000
